1001, 143108176, 1, 0
2012, 144326572, 1, 0
3004, 141793035, 1, 0
4100, 136984357, 1, 0
5014, 130482134, 1, 0
6050, 129521027, 1, 0
7090, 129939947, 1, 0
8126, 129547254, 1, 0
9034, 129711252, 1, 0
10071, 129558681, 1, 0
11107, 129544729, 1, 0
12013, 129341249, 1, 0
13050, 129579377, 1, 0
14088, 129735039, 1, 0
15125, 129671627, 1, 0
16032, 129541834, 1, 0
17067, 129364706, 1, 0
18101, 129272676, 1, 0
19008, 129536922, 1, 0
20047, 129790193, 1, 0
21085, 129745594, 1, 0
22120, 129384232, 1, 0
23027, 129549992, 1, 0
24062, 129391598, 1, 0
25100, 129689768, 1, 0
26007, 129683758, 1, 0
27043, 129440694, 1, 0
28078, 129348212, 1, 0
29113, 129404195, 1, 0
30020, 129474354, 1, 0
31058, 129812223, 1, 0
32094, 129393084, 1, 0
33001, 129652588, 1, 0
33525, 130787803, 1, 0
