1010, 4, 0, 0
2010, 5, 0, 0
3011, 4, 0, 0
4011, 4, 0, 0
5012, 4, 0, 0
6012, 4, 0, 0
7013, 5, 0, 0
8013, 4, 0, 0
9014, 4, 0, 0
10014, 4, 0, 0
11015, 4, 0, 0
12015, 5, 0, 0
13014, 4, 0, 0
14015, 5, 0, 0
15015, 4, 0, 0
16016, 4, 0, 0
17016, 5, 0, 0
18017, 4, 0, 0
19017, 4, 0, 0
20018, 4, 0, 0
21018, 5, 0, 0
22018, 4, 0, 0
23019, 5, 0, 0
24019, 4, 0, 0
25010, 4, 0, 0
26010, 5, 0, 0
27011, 4, 0, 0
28011, 4, 0, 0
29012, 4, 0, 0
30012, 4, 0, 0
31013, 4, 0, 0
32013, 4, 0, 0
33014, 5, 0, 0
34014, 4, 0, 0
35015, 4, 0, 0
36015, 5, 0, 0
37015, 4, 0, 0
38016, 5, 0, 0
39016, 4, 0, 0
40017, 4, 0, 0
41017, 4, 0, 0
42018, 4, 0, 0
43018, 4, 0, 0
44019, 5, 0, 0
45019, 4, 0, 0
46010, 4, 0, 0
47010, 4, 0, 0
48011, 5, 0, 0
